Date,Price,Open,High,Low,Volume,Change(%)
16 Feb 2022,17322.2,17408.45,17490.6,17257.7,244549223,-0.17%
15 Feb 2022,17352.45,16933.25,17375,16839.25,298658142,3.03%
14 Feb 2022,16842.8,17076.15,17099.5,16809.65,305510740,-3.06%
11 Feb 2022,17374.75,17451,17454.75,17303,253141660,-1.31%
10 Feb 2022,17605.85,17554.1,17639.45,17427.15,273606440,0.81%
09 Feb 2022,17463.8,17370.1,17477.15,17339,236350514,1.14%
08 Feb 2022,17266.75,17279.85,17306.45,17043.65,268526210,0.31%
07 Feb 2022,17213.6,17456.3,17536.75,17119.4,265037933,-1.73%
04 Feb 2022,17516.3,17590.2,17617.8,17462.55,261434170,-0.25%
03 Feb 2022,17560.2,17767.75,17781.15,17511.15,226614989,-1.24%
02 Feb 2022,17780,17706.2,17794.6,17674.8,271205907,1.16%
01 Feb 2022,17576.85,17529.45,17622.4,17244.55,386391485,1.37%
31 Jan 2022,17339.85,17301.05,17410,17264.15,321660346,1.39%
28 Jan 2022,17101.95,17208.3,17373.5,17077.1,355284285,-0.05%
27 Jan 2022,17110.15,17062,17182.5,16866.75,395596577,-0.97%
25 Jan 2022,17277.95,17001.55,17309.15,16836.8,326515896,0.75%
24 Jan 2022,17149.1,17575.15,17599.4,16997.85,323847388,-2.66%
21 Jan 2022,17617.15,17613.7,17707.6,17485.85,277645373,-0.79%
20 Jan 2022,17757,17921,17943.7,17648.45,258094246,-1.01%
19 Jan 2022,17938.4,18129.2,18129.2,17884.9,276662654,-0.96%
18 Jan 2022,18113.05,18337.2,18350.95,18085.9,227507319,-1.07%
17 Jan 2022,18308.1,18235.65,18321.55,18228.75,266702919,0.29%
14 Jan 2022,18255.75,18185,18286.95,18119.65,229451608,-0.01%
13 Jan 2022,18257.8,18257,18272.25,18163.8,303700545,0.25%
12 Jan 2022,18212.35,18170.4,18227.95,18128.8,244974287,0.87%
11 Jan 2022,18055.75,17997.75,18081.25,17964.4,220238796,0.29%
10 Jan 2022,18003.3,17913.3,18017.45,17879.15,232418075,1.07%
07 Jan 2022,17812.7,17797.6,17905,17704.55,239338015,0.38%
06 Jan 2022,17745.9,17768.5,17797.95,17655.55,236454824,-1.00%
05 Jan 2022,17925.25,17820.1,17944.7,17748.85,251460038,0.67%
04 Jan 2022,17805.25,17681.4,17827.6,17593.55,247437472,1.02%
03 Jan 2022,17625.7,17387.15,17646.65,17383.3,200456430,1.57%
31 Dec 2021,17354.05,17244.5,17400.8,17238.5,167025720,0.87%
30 Dec 2021,17203.95,17201.45,17264.05,17146.35,320831676,-0.06%
29 Dec 2021,17213.6,17220.1,17285.95,17176.65,161679423,-0.11%
28 Dec 2021,17233.25,17177.6,17250.25,17161.15,176026100,0.86%
27 Dec 2021,17086.25,16937.75,17112.05,16833.2,144777457,0.49%
24 Dec 2021,17003.75,17149.5,17155.6,16909.6,182564833,-0.40%
23 Dec 2021,17072.6,17066.8,17118.65,17015.55,196965302,0.69%
22 Dec 2021,16955.45,16865.55,16971,16819.5,207946105,1.10%
21 Dec 2021,16770.85,16773.15,16936.4,16688.25,241030834,0.94%
20 Dec 2021,16614.2,16824.25,16840.1,16410.2,330614079,-2.18%
17 Dec 2021,16985.2,17276,17298.15,16966.45,354591366,-1.53%
16 Dec 2021,17248.4,17373,17379.35,17184.95,219496063,0.16%
15 Dec 2021,17221.4,17323.65,17351.2,17192.2,214972109,-0.60%
14 Dec 2021,17324.9,17283.2,17376.2,17225.8,270965586,-0.25%
13 Dec 2021,17368.25,17619.1,17639.5,17355.95,256560534,-0.82%
10 Dec 2021,17511.3,17476.05,17534.35,17405.25,204467484,-0.03%
09 Dec 2021,17516.85,17524.4,17543.25,17379.6,237170272,0.27%
08 Dec 2021,17469.75,17315.25,17484.6,17308.95,257791948,1.71%
07 Dec 2021,17176.7,17044.1,17251.65,16987.75,254144221,1.56%
06 Dec 2021,16912.25,17209.05,17216.75,16891.7,231716681,-1.65%
03 Dec 2021,17196.7,17424.9,17489.8,17180.8,292526485,-1.18%
02 Dec 2021,17401.65,17183.2,17420.35,17149.3,279867500,1.37%
01 Dec 2021,17166.9,17104.4,17213.05,17064.25,295542125,1.08%
30 Nov 2021,16983.2,17051.15,17324.65,16931.4,497999836,-0.41%
29 Nov 2021,17053.95,17055.8,17160.7,16782.4,348888750,0.16%
26 Nov 2021,17026.45,17338.75,17355.4,16985.7,356330009,-2.91%
25 Nov 2021,17536.25,17417.3,17564.35,17351.7,255947032,0.70%
24 Nov 2021,17415.05,17550.05,17600.6,17354,298052158,-0.50%
